ā yóu qiān	錒鈾鉛
nài yǎng lǜ huà lín	萘氧氯化磷
nài yǐ suān jiǎ zhǐ	萘乙酸甲酯
nài yǐ suān yǐ zhǐ	萘乙酸乙酯
nán guā zǐ ān suān	南瓜子氨酸
ní de tóng wèi sù	鈮的同位素
nì tài zhī fáng suān	逆態脂肪酸
niào cǎo suān cè dìng	尿草酸測定
niǎo gān dān lín suān	鳥苷單磷酸
niào gān dān lín suān	尿苷單磷酸
niǎo gān sān lín suān	鳥苷三磷酸
niào gān sān lín suān	尿苷三磷酸
niǎo gān yī lín suān	鳥苷一磷酸
niào gān yī lín suān	尿苷一磷酸
niào hēi suān niào zhèng	尿黑酸尿症
niào jī bǐng suān nà	脲基丙酸鈉
niào jī yì dīng suān	脲基異丁酸
niào niào suān cè dìng	尿尿酸測定
niào suān xìng shèn bìng	尿酸性腎病
niào suān yán chén jī	尿酸鹽沉積
niào suān yán jié shí	尿酸鹽結石
niào suān yǎng huà méi	尿酸氧化酶
niè biāo zhǔn róng yè	鎳標準溶液
niè gǔ lǚ suān lǐ	鎳鈷鋁酸鋰
niè gǔ měng suān lǐ	鎳鈷錳酸鋰
níng méng bù suān yōu	檸檬不酸呦
níng méng shí gǔ suān	檸檬蝕骨酸
níng méng suān bì ǎn	檸檬酸鉍銨
níng méng suān bù suān	檸檬酸不酸
níng méng suān hé méi	檸檬酸合酶
níng méng suān měi shí	檸檬酸鎂十
níng méng suān nà jiǎ	檸檬酸鈉鉀
níng méng suān qīng měi	檸檬酸氫鎂
níng méng suān sān jiǎ	檸檬酸三鉀
níng méng suān sān nà	檸檬酸三鈉
níng méng suān tiě ǎn	檸檬酸鐵銨
níng méng suān tóng shuǐ	檸檬酸銅水
níng méng suān yī nà	檸檬酸一鈉
níng méng zhēn suān ne	檸檬真酸呢
niú nǎi hé suān nǎi	牛奶和酸奶
niú nǎi huò suān nǎi	牛奶或酸奶
nóng guò yǎng huà qīng	濃過氧化氫
nóng jí lì zǒng jiǎn	農吉利總鹼
nóng lǜ huà nà zhēn	濃氯化鈉針
nuò fú shā xīng shuān	諾氟沙星栓
nuò fú shā xīng xīn	諾氟沙星鋅
nǚ de tóng wèi sù	釹的同位素
ōu ní de suān yè	歐尼的酸葉
pài dìng bǐng suān zhǐ	哌啶丙酸酯
pài dìng jī běn àn	哌啶基苯胺
pài dìng yán suān yán	哌啶鹽酸鹽
pàng dīng chī suān méi	胖丁吃酸梅
pèi táng shēng wù jiǎn	配糖生物鹼
pēn tì suān gài nà	噴替酸鈣鈉
péng de hán yǎng suān	硼的含氧酸
péng de yǎng huà wù	硼的氧化物
péng qīng huà hé wù	硼氫化合物
péng shā tàn suān nà	硼砂碳酸鈉
péng suān jī běn jī	硼酸基苯基
péng suān róng yè lì	硼酸溶液立
péng suān róng yè pí	硼酸溶液皮
péng suān róng yè yī	硼酸溶液一
péng suān sān běn zhǐ	硼酸三苯酯
péng suān sān bǐng zhǐ	硼酸三丙酯
péng suān sān dīng zhǐ	硼酸三丁酯
péng suān sān jiǎ zhǐ	硼酸三甲酯
péng suān sān yǐ zhǐ	硼酸三乙酯
péng suān yǎng huà xīn	硼酸氧化鋅
pī de tóng wèi sù	鈹的同位素
pī de yǎng huà wù	鈹的氧化物
pí ēn tóng rǎn liào	皮蒽酮染料
pí sī kē suān jiǔ	皮斯科酸酒
piān běn sān fēn mí	偏苯三酚醚
piān běn sān jiǎ suān	偏苯三甲酸
piān èr jiǎ jī jǐng	偏二甲基肼
piān èr lǜ yǐ xī	偏二氯乙烯
piān èr yà liú suān	偏二亞硫酸
piān guī suān lǐ lǚ	偏硅酸鋰鋁
piān lín suān yóu xiān	偏磷酸鈾酰
piān yà shēn suān lǐ	偏亞砷酸鋰
piān yà shēn suān nà	偏亞砷酸鈉
piān yà shēn suān xīn	偏亞砷酸鋅
piáo ér cài yóu suān	瓢兒菜油酸
pín nǎ chún chóng pái	頻哪醇重排
pín yóu chuān jiǎ dàn	貧鈾穿甲彈
píng bì dǎo xiàn lì	屏蔽導線鉝
píng guǒ suān hé méi	蘋果酸合酶
píng guǒ suān qīng nà	蘋果酸氫鈉
píng xíng guāng xiàn lì	平行光線鉝
píng yè suān téng zi	平葉酸藤子
pǒ de tóng wèi sù	鉕的同位素
pú ān suān tè yì	脯氨酸特異
pǔ de tóng wèi sù	鐠的同位素
pǔ lā gāo tóng nà	普拉睾酮鈉
pū mǔ suān qiǎng qín	撲姆酸羥嗪
pú shēng gōu suān jiāng	匍生溝酸漿
pú táng quán suān nà	葡糖醛酸鈉
pú táng suān jiǎ yán	葡糖酸鉀鹽
pú táng suān nèi zhǐ	葡糖酸內酯
pú táo táng suān jiǎ	葡萄糖酸鉀
pú táo táng suān měi	葡萄糖酸鎂
pú táo táng suān nà	葡萄糖酸鈉
pú táo táng suān tóng	葡萄糖酸銅
pú táo táng suān xīn	葡萄糖酸鋅
pǔ tōng huà èr jiǎ	普通話二甲
qī fú bǐng yǎng jī	七氟丙氧基
qī fú dīng suān gān	七氟丁酸酐
qī fú tǎn suān jiǎ	七氟鉭酸鉀
qī jiǎ jī rén wán	七甲基壬烷
qī liú huà èr lái	七硫化二錸
qī qiǎng jī huáng tóng	七羥基黃酮
qī shuǐ liú suān gǔ	七水硫酸鈷
qī shuǐ liú suān měi	七水硫酸鎂
qī shuǐ liú suān xīn	七水硫酸鋅
qī shuǐ tàn suān nà	七水碳酸鈉
qī wéi niú huáng suān	七維牛磺酸
qī yǎng huà èr dā	七氧化二鎝
qī yǎng huà èr dé	七氧化二鍀
qī yǎng huà èr lái	七氧化二錸
qī yǎng huà èr lǜ	七氧化二氯
qī yǎng huà èr měng	七氧化二錳
qī yǎng huà sì tè	七氧化四鋱
qí zhōng de xīn suān	其中的辛酸
qí zhōng de xīn suān	其中的心酸
qiān biāo zhǔn róng yè	鉛標準溶液
qiān de yǎng huà wù	鉛的氧化物
qiān jīn téng dìng jiǎn	千金藤啶鹼
qiǎng ān jī yǐ suān	羥氨基乙酸
qiǎng àn yán suān yán	羥胺鹽酸鹽
qiǎng běn bǐng tóng suān	羥苯丙酮酸
qiǎng běn huáng suān gài	羥苯磺酸鈣
qiǎng bǐng jī jiǎ mí	羥丙基甲醚
qiǎng èr tóng hǔ nà	羥二酮琥鈉
qiáng fú bīng shuāng pí	強氟冰霜皮
qiǎng jī ā wèi suān	羥基阿魏酸
qiǎng jī ān jī suān	羥基氨基酸
qiǎng jī běn bǐng tóng	羥基苯丙酮
qiǎng jī běn jiǎ jīng	羥基苯甲腈
qiǎng jī běn jiǎ mí	羥基苯甲醚
qiǎng jī běn jiǎ suān	羥基苯甲酸
qiǎng jī běn liú fēn	羥基苯硫酚
qiǎng jī běn yǐ àn	羥基苯乙胺
qiǎng jī běn yǐ jīng	羥基苯乙腈
qiǎng jī běn yǐ quán	羥基苯乙醛
qiǎng jī běn yǐ suān	羥基苯乙酸
qiǎng jī běn yǐ tóng	羥基苯乙酮
qiǎng jī bǐ gē wán	羥基吡咯烷
qiǎng jī biǎo xióng tóng	羥基表雄酮
qiǎng jī bǐng èr suān	羥基丙二酸
qiǎng jī bǐng tóng suān	羥基丙酮酸
qiǎng jī cí èr chún	羥基雌二醇
qiǎng jī cí sān chún	羥基雌三醇
qiǎng jī dǎn gù chún	羥基膽固醇
qiǎng jī dān shēn tóng	羥基丹參酮
qiǎng jī dǎn zāi chún	羥基膽甾醇
qiǎng jī dīng èr suān	羥基丁二酸
qiǎng jī dīng suān gài	羥基丁酸鈣
qiǎng jī dīng suān nà	羥基丁酸鈉
qiǎng jī dīng suān yán	羥基丁酸鹽
qiǎng jī dīng suān zhǐ	羥基丁酸酯
qiǎng jī èr běn àn	羥基二苯胺
qiǎng jī gān ān suān	羥基甘氨酸
qiǎng jī guǐ xī suān	羥基癸烯酸
qiǎng jī huán wù wán	羥基環戊烷
qiǎng jī huáng wán tóng	羥基黃烷酮
qiǎng jī huò wán tóng	羥基藿烷酮
qiǎng jī jiǎ péng wán	羥基甲硼烷
qiǎng jī jīn gāng wán	羥基金剛烷
qiǎng jī kǎn lì tóng	羥基坎利酮
qiǎng jī kuí lín tóng	羥基喹啉酮
qiǎng jī lèi gù chún	羥基類固醇
qiǎng jī lǜ bǐ dìng	羥基氯吡啶
qiǎng jī lǜ huà měi	羥基氯化鎂
qiǎng jī nài èr tóng	羥基萘二酮
qiǎng jī nài jiǎ suān	羥基萘甲酸
qiǎng jī ǒu dàn běn	羥基偶氮苯
qiǎng jī pú ān suān	羥基脯氨酸
qiǎng jī qíng huà biàn	羥基氰化苄
qiǎng jī ròu guì suān	羥基肉桂酸
qiǎng jī sè ān suān	羥基色氨酸
qiǎng jī shí èr suān	羥基十二酸
qiǎng jī shí sì suān	羥基十四酸
qiǎng jī tiè dūn tóng	羥基呫噸酮
qiǎng jī tuì pí tóng	羥基蛻皮酮
qiǎng jī tuō pǐn tóng	羥基托品酮
qiǎng jī wù èr suān	羥基戊二酸
qiǎng jī xǐ shù jiǎn	羥基喜樹鹼
qiǎng jī yǎng huà lǚ	羥基氧化鋁
qiǎng jī yǎng huà niè	羥基氧化鎳
qiǎng jī yǎng huà tiě	羥基氧化鐵
qiǎng jī yì dīng suān	羥基異丁酸
qiǎng jī yǐ jī běn	羥基乙基苯
qiǎng jī yì jǐ suān	羥基異己酸
qiǎng jī yǐ suān nà	羥基乙酸鈉
qiǎng jī yì tài suān	羥基異酞酸
qiǎng jī yìng zhī suān	羥基硬脂酸
qiǎng jī yùn zāi tóng	羥基孕甾酮
qiǎng jī zhī fáng suān	羥基脂肪酸
qiǎng jī zōng lǘ suān	羥基棕櫚酸
qiǎng jiǎ jī bǐ dìng	羥甲基吡啶
qiǎng jiǎ jī guān mí	羥甲基冠醚
qiǎng jiǎ jī kāng quán	羥甲基糠醛
qiǎng jiǎ yǎng běn tóng	羥甲氧苯酮
qiáng jiǎn ruò suān yán	強鹼弱酸鹽
qiǎng liú tàn xīn shí	羥硫碳鋅石
qiáng suān chí zhè jí	強酸池這集
qiáng suān qiáng jiǎn yán	強酸強鹼鹽
qiáng suān ruò jiǎn yán	強酸弱鹼鹽
qiǎng yǐ jī běn àn	羥乙基苯胺
qiǎng yǐ lín suān nà	羥乙磷酸鈉
qiǎng yǐ lìn suān nà	羥乙膦酸鈉
qiǎng yùn xī chún tóng	羥孕烯醇酮
qiáo lián yà jiǎ jī	橋聯亞甲基
qīng dàn fēn xī yí	氫氮分析儀
qīng dàn yā suō jī	氫氮壓縮機
qīng de tóng wèi sù	氫的同位素
qīng de yǎng huà wù	氫的氧化物
qīng fēn zǐ lí zǐ	氫分子離子
qīng fú tàn huà wù	氫氟碳化物
qīng guò yǎng huà wù	氫過氧化物
qīng hài lǐ pī péng	氫氦鋰鈹硼
qíng huà běn jiǎ xiān	氰化苯甲酰
qīng huà bì má yóu	氫化蓖麻油
qīng huà guī wán huà	氫化硅烷化
qīng huà kě dì sōng	氫化可的松
qīng huà kuí nuò tóng	氫化喹諾酮
qīng huà luò hé wù	氫化絡合物
qīng huà ǒu dàn běn	氫化偶氮苯
qīng huà pí zhì tóng	氫化皮質酮
qīng huà pō ní sōng	氫化潑尼松
qīng huà rǔ qīng suān	氫化乳清酸
qīng huà sōng líng suān	氫化松苓酸
qīng huà tāng jī sān	氫化羰基三
qīng huà zhí wù yóu	氫化植物油
qíng jī běn jiǎ suān	氰基苯甲酸
qíng jī běn yǐ jīng	氰基苯乙腈
qīng kūn rǔ gāo pí	氫醌乳膏皮
qīng liú shēn qiān kuàng	輕硫砷鉛礦
qīng lǜ bǐ gé léi	氫氯吡格雷
qīng néng chǎn yè liàn	氫能產業鏈
qīng níng méng suān qiān	氫檸檬酸鉛
qíng péng qīng huà nà	氰硼氫化鈉
qīng qiú jī mù sù	氫巰基木素
qíng sān yǐ suān nà	氰三乙酸鈉
qīng tàn yuán zǐ bǐ	氫碳原子比
qíng yà tiě suān jiǎ	氰亞鐵酸鉀
qīng yǎng bào qì guāng	氫氧爆氣光
qīng yǎng fā dòng jī	氫氧發動機
qīng yǎng gēn lí zǐ	氫氧根離子
qīng yǎng huà dǎn jiǎn	氫氧化膽鹼
qīng yǎng huà gāo shì	氫氧化高鈰
qīng yǎng huà hǎi àn	氫氧化海胺
qīng yǎng huà hé wù	氫氧化合物
qīng yǎng huà yà gè	氫氧化亞鉻
qīng yǎng huà yà měng	氫氧化亞錳
qīng yǎng huà yà tā	氫氧化亞鉈
qīng yǎng huà yà tiě	氫氧化亞鐵
qīng yǎng huà yà tóng	氫氧化亞銅
qīng yǎng huà yà xī	氫氧化亞錫
qīng yǎng huà yà yǒu	氫氧化亞銪
qīng yǎng huà yà zhě	氫氧化亞鍺
qīng yǎng huà yǎng lǚ	氫氧化氧鋁
qīng yǎng huà yǎng niè	氫氧化氧鎳
qīng yǎng huà yóu xiān	氫氧化鈾酰
qīng yǎng hùn hé qì	氫氧混合氣
qīng yǎng qì chuī guǎn	氫氧氣吹管
qīng yǎng zì yóu jī	氫氧自由基
qíng yǐ suān dīng zhǐ	氰乙酸丁酯
qíng yǐ suān jiǎ zhǐ	氰乙酸甲酯
qíng yǐ suān yǐ zhǐ	氰乙酸乙酯
qīng yuán zǐ diàn lí	氫原子電離
qīng zhì tàn suān gài	輕質碳酸鈣
qīng zhì yǎng huà měi	輕質氧化鎂
qióng suān xiù cái juān	窮酸秀才娟
qiú jī běn jiǎ suān	巰基苯甲酸
qiú jī bǐng èr chún	巰基丙二醇
qiú jī bǐng tóng suān	巰基丙酮酸
qiú jī dīng èr suān	巰基丁二酸
qiú jī fǎ liú chún	求積法硫醇
qiú jī jīn gāng wán	巰基金剛烷
qiú jī yǐ suān ǎn	巰基乙酸銨
qiú jī yǐ suān gài	巰基乙酸鈣
qiú jī yǐ suān nà	巰基乙酸鈉
qiú jī yǐ suān yán	巰基乙酸鹽
qiú jiǎ bǐng pú suān	巯甲丙脯酸
qiú yǐ huáng suān nà	巰乙磺酸鈉
qù jiǎ běn fú lín	去甲苯福林
qù jiǎ lǜ àn tóng	去甲氯胺酮
qù jiǎ má huáng jiǎn	去甲麻黃鹼
qù jiǎ měi shā tóng	去甲美沙酮
qù jiǎ wū yào jiǎn	去甲烏藥鹼
qù qīng biǎo xióng tóng	去氫表雄酮
qù qīng dǎn suān nà	去氫膽酸鈉
qù qīng yī mǐ dīng	去氫依米丁
qù tián suān gān cǎo	去甜酸甘草
qù yǎng běn tuǒ yīng	去氧苯妥英
qù yǎng fú niào gān	去氧氟尿苷
qù yǎng hé gān suān	去氧核苷酸
qù yǎng má huáng jiǎn	去氧麻黃鹼
qù yǎng pí zhì tóng	去氧皮質酮
quán fú bìng wǔ běn	全氟並五苯
quán fú huà hé wù	全氟化合物
quán fú jǐ huáng suān	全氟己磺酸
quán fú jǐ jī diǎn	全氟己基碘
quán fú sān dīng àn	全氟三丁胺
quán fú sān wù àn	全氟三戊胺
quán fú sān yǐ àn	全氟三乙胺
quán fú tàn huà wù	全氟碳化物
quán fú wù èr suān	全氟戊二酸
quán fú xīn huáng suān	全氟辛磺酸
quán fú xīn jī diǎn	全氟辛基碘
quán fú yì dīng xī	全氟異丁烯
quán gù tóng shòu tǐ	醛固酮受體
quán jī běn péng suān	醛基苯硼酸
quán lǜ dīng èr xī	全氯丁二烯
quán lǜ jiǎ liú chún	全氯甲硫醇
quǎn niào kuí lín suān	犬尿喹啉酸
quē bǐng jī lǔ chún	炔丙基滷醇
rén běn chún mí mó	壬苯醇醚膜
rén shēn quē sān chún	人參炔三醇
róng róng yǎng huà lǚ	熔融氧化鋁
ròu dòu kòu suān zhǐ	肉豆蔻酸酯
ròu guì suān biàn àn	肉桂酸苄胺
ròu guì suān biàn zhǐ	肉桂酸苄酯
ròu guì suān bǐng zhǐ	肉桂酸丙酯
ròu guì suān dīng zhǐ	肉桂酸丁酯
ròu guī suān dīng zhǐ	肉硅酸丁酯
ròu guì suān jiǎ zhǐ	肉桂酸甲酯
ròu guī suān jiǎ zhǐ	肉硅酸甲酯
ròu guì suān yǐ zhǐ	肉桂酸乙酯
ròu guī suān yǐ zhǐ	肉硅酸乙酯
ròu guì xiān běn àn	肉桂酰苯胺
róu liǔ péng sān suān	鞣柳硼三酸
róu suān dàn bái sàn	鞣酸蛋白散
róu suān lǜ lí ān	鞣酸綠黎安
róu suān tiě mò shuǐ	鞣酸鐵墨水
rú de tóng wèi sù	銣的同位素
rú de yǎng huà wù	銣的氧化物
rǔ jiǎn zōng hé zhēng	乳鹼綜合徵
rǔ qīng suān hé gān	乳清酸核苷
rǔ qīng suān wú shuǐ	乳清酸無水
rǔ suān jūn sù sàn	乳酸菌素散
rǔ suān jūn yǐn pǐn	乳酸菌飲品
rǔ suān lín gé yè	乳酸林格液
rǔ suān nà lín gé	乳酸鈉林格
rǔ suān qù qīng méi	乳酸去氫酶
rǔ suān rǔ qiú jūn	乳酸乳球菌
rǔ suān xīn kě dìng	乳酸心可定
rǔ suān zhèng dīng zhǐ	乳酸正丁酯
rǔ táng chún nèi zhǐ	乳糖醇內酯
ruǎn mù sān tóng tiē	軟木三酮萜
ruǎn ní chú qù suān	軟泥除去酸
ruò jiǎn ruò suān yán	弱鹼弱酸鹽
ruò suān qiáng jiǎn yán	弱酸強鹼鹽
ruò suān ruò jiǎn yán	弱酸弱鹼鹽
sāi fēn jiǎ xiān lǜ	噻吩甲酰氯
sāi huán gēng sān xī	噻環庚三烯
sāi huán rén sì xī	噻環壬四烯
sāi zuò wán èr tóng	噻唑烷二酮
sān àn huán jǐ wán	三胺環己烷
sān běn guī wán chún	三苯硅烷醇
sān běn jī jiǎ wán	三苯基甲烷
sān běn jī xī jī	三苯基錫基
sān běn jī yǎng lìn	三苯基氧膦
sān běn jī zhě wán	三苯基鍺烷
sān běn lǜ jiǎ wán	三苯氯甲烷
sān cì zào jiá jiǎn	三刺皂莢鹼
sān diǎn běn jiǎ suān	三碘苯甲酸
sān diǎn jiǎ guī wán	三碘甲硅烷
sān dié dàn huà shēn	三疊氮化砷
sān fú běn jiǎ suān	三氟苯甲酸
sān fú bǐng xī suān	三氟丙烯酸
sān fú diǎn jiǎ wán	三氟碘甲烷
sān fú guò yǐ suān	三氟過乙酸
sān fú huà liú dàn	三氟化硫氮
sān fú jiǎ huáng xiān	三氟甲磺酰
sān fú jiǎ liú chún	三氟甲硫醇
sān fú jiǎ liú jī	三氟甲硫基
sān fú lǜ jiǎ wán	三氟氯甲烷
sān fú lǜ yǐ xī	三氟氯乙烯
sān fú xiāo jī běn	三氟硝基苯
sān fú xiù jiǎ wán	三氟溴甲烷
sān fú xiù yǐ xī	三氟溴乙烯
sān fú yǎng huà diǎn	三氟氧化碘
sān fú yǎng huà lǜ	三氟氧化氯
sān fú yǐ quán wò	三氟乙醛肟
sān fú yǐ suān bǎ	三氟乙酸鈀
sān fú yǐ suān bì	三氟乙酸鉍
sān fú yǐ suān fán	三氟乙酸釩
sān fú yǐ suān gān	三氟乙酸酐
sān fú yǐ suān gǒng	三氟乙酸汞
sān fú yǐ suān jiǎ	三氟乙酸鉀
sān fú yǐ suān lǎo	三氟乙酸銠
sān fú yǐ suān lǐ	三氟乙酸鋰
sān fú yǐ suān nà	三氟乙酸鈉
sān fú yǐ suān niè	三氟乙酸鎳
sān fú yǐ suān nǚ	三氟乙酸釹
sān fú yǐ suān rú	三氟乙酸銣
sān fú yǐ suān sè	三氟乙酸銫
sān fú yǐ suān tā	三氟乙酸鉈
sān fú yǐ suān tóng	三氟乙酸銅
sān fú yǐ suān tuó	三氟乙酸坨
sān fú yǐ suān yán	三氟乙酸鹽
sān fú yǐ suān zhǐ	三氟乙酸酯
sān fú yǐ xiān àn	三氟乙酰胺
sān fú yǐ xiān fú	三氟乙酰氟
sān fú yǐ xiān lǜ	三氟乙酰氯
sān fú yǐ yǎng jī	三氟乙氧基
sān fú yì yǐ jīng	三氟異乙腈
sān jiǎ chún bǐng wán	三甲醇丙烷
sān jiǎ jī běn àn	三甲基苯胺
sān jiǎ jī běn fēn	三甲基苯酚
sān jiǎ jī bǐ dìng	三甲基吡啶
sān jiǎ jī dīng wán	三甲基丁烷
sān jiǎ jī dīng xī	三甲基丁烯
sān jiǎ jī guī chún	三甲基硅醇
sān jiǎ jī guī jī	三甲基硅基
sān jiǎ jī guī zhǐ	三甲基硅酯
sān jiǎ jī hǎi yīn	三甲基海因
sān jiǎ jī hé tiě	三甲基合鐵
sān jiǎ jī jǐ chún	三甲基己醇
sān jiǎ jī jǐ wán	三甲基己烷
sān jiǎ jī liǔ yán	三甲基鋶鹽
sān jiǎ jī sè àn	三甲基色胺
sān jiǎ jī wù wán	三甲基戊烷
sān jiǎ jī wù xī	三甲基戊烯
sān jiǎ jī xī jī	三甲基矽基
sān jiǎ jī yǐ quán	三甲基乙醛
sān jiǎ jī yǐ suān	三甲基乙酸
sān jiǎ jī zhě wán	三甲基鍺烷
sān jiǎ yǎng jī běn	三甲氧基苯
sān jiān shān zhǐ jiǎn	三尖杉酯鹼
sān jù lín suān jiǎ	三聚磷酸鉀
sān jù lín suān lǚ	三聚磷酸鋁
sān jù lín suān nà	三聚磷酸鈉
sān jù lín suān yán	三聚磷酸鹽
sān jù liú qíng suān	三聚硫氰酸
sān jù yì qíng suān	三聚異氰酸
sān lín suān bāo gān	三磷酸胞苷
sān lín suān niào gān	三磷酸尿苷
sān lín suān niǎo gān	三磷酸鳥苷
sān lín suān xiàn gān	三磷酸腺苷
sān liú dài tàn suān	三硫代碳酸
sān liú huà èr bì	三硫化二鉍
sān liú huà èr gè	三硫化二鉻
sān liú huà èr jiā	三硫化二鎵
sān liú huà èr lǎo	三硫化二銠
sān liú huà èr lín	三硫化二磷
sān liú huà èr péng	三硫化二硼
sān liú huà èr pǔ	三硫化二鐠
sān liú huà èr qīng	三硫化二氫
sān liú huà èr shān	三硫化二釤
sān liú huà èr shēn	三硫化二砷
sān liú huà èr shì	三硫化二鈰
sān liú huà èr tài	三硫化二鈦
sān liú huà èr tī	三硫化二銻
sān liú huà èr tiě	三硫化二鐵
sān liú huà èr yī	三硫化二銥
sān liú huà èr yǐ	三硫化二釔
sān liú huà èr yì	三硫化二鐿
sān liú huà èr yīn	三硫化二銦
sān liú huà èr yóu	三硫化二鈾
sān liú huà hé wù	三硫化合物
sān liú huà sì lín	三硫化四磷
sān liú huà yà lín	三硫化亞磷
sān liú suān qīng gè	三硫酸氫鉻
sān lǜ běn dā zuò	三氯苯噠唑
sān lǜ běn jiǎ mí	三氯苯甲醚
sān lǜ běn jiǎ suān	三氯苯甲酸
sān lǜ běn yǐ tóng	三氯苯乙酮
sān lǜ dàn huà mù	三氯氮化鉬
sān lǜ dàn huà wū	三氯氮化鎢
sān lǜ diǎn jiǎ wán	三氯碘甲烷
sān lǜ fú jiǎ wán	三氯氟甲烷
sān lǜ guī jiǎ wán	三氯硅甲烷
sān lǜ huà liú lín	三氯化硫磷
sān lǜ jiǎ guī wán	三氯甲硅烷
sān lǜ jiǎ zhě wán	三氯甲鍺烷
sān lǜ qíng xiān àn	三氯氰酰胺
sān lǜ shā mǎn chún	三氯殺蟎醇
sān lǜ shū dīng chún	三氯叔丁醇
sān lǜ shuǐ yáng suān	三氯水楊酸
sān lǜ xiāo jī běn	三氯硝基苯
sān lǜ xiāo jiǎ wán	三氯硝甲烷
sān lǜ xiù jiǎ wán	三氯溴甲烷
sān lǜ yǎng huà fán	三氯氧化釩
sān lǜ yǎng huà lín	三氯氧化磷
sān lǜ yǎng huà ní	三氯氧化鈮
sān lǜ yǎng huà tǎn	三氯氧化鉭
sān lǜ yǐ quán wò	三氯乙醛肟
sān lǜ yǐ suān dī	三氯乙酸鏑
sān lǜ yǐ suān diū	三氯乙酸銩
sān lǜ yǐ suān ěr	三氯乙酸鉺
sān lǜ yǐ suān huǒ	三氯乙酸鈥
sān lǜ yǐ suān lǔ	三氯乙酸鑥
sān lǜ yǐ suān nà	三氯乙酸鈉
sān lǜ yǐ suān yán	三氯乙酸鹽
sān lǜ yǐ suān yì	三氯乙酸鐿
sān lǜ yǐ xiān àn	三氯乙酰胺
sān lǜ yǐ xiān lǜ	三氯乙酰氯
sān piān lín suān nà	三偏磷酸鈉
sān qiǎng jī huáng tóng	三羥基黃酮
sān qiǎng jiǎ jī lìn	三羥甲基膦
sān qiǎng jiǎ jī wán	三羥甲基烷
sān qíng jī jiǎ wán	三氰基甲烷
sān shí èr wán chún	三十二烷醇
sān shí tàn liù xī	三十碳六烯
sān shí yī wán chún	三十一烷醇
sān suān gān yóu zhǐ	三酸甘油酯
sān suān gān yóu zhī	三酸甘油脂
sān suō bǐng èr chún	三縮丙二醇
sān suō jiǎ jī àn	三羧甲基胺
sān tāng jī běn gè	三羰基苯鉻
sān tīng jī péng wán	三烴基硼烷
sān wéi zhāng liǔ jiǎn	三維樟柳鹼
sān xī bǐng jī àn	三烯丙基胺
sān xī huà èr jiā	三硒化二鎵
sān xī huà èr shēn	三硒化二砷
sān xī huà èr tī	三硒化二銻
sān xī huà sì shēn	三硒化四砷
sān xiāo jī běn àn	三硝基苯胺
sān xiāo jī běn fēn	三硝基苯酚
sān xiāo jī běn jǐng	三硝基苯肼
sān xiāo jī jiǎ běn	三硝基甲苯
sān xiāo jī jiǎ jī	三硝基甲基
sān xiāo jī jiǎ wán	三硝基甲烷
sān xiāo jī lǜ běn	三硝基氯苯
sān xiāo jī wù tóng	三硝基芴酮
sān xiāo suān yǎng fán	三硝酸氧釩
sān xiù diǎn jiǎ wán	三溴碘甲烷
sān xiù fú jiǎ wán	三溴氟甲烷
sān xiù jiǎ guī wán	三溴甲硅烷
sān xiù jiǎ zhě wán	三溴甲鍺烷
sān xiù xīn wù chún	三溴新戊醇
sān yà dì suān hā	三亞碲酸鉿
sān yǎng huà èr bì	三氧化二鉍
sān yǎng huà èr dàn	三氧化二氮
sān yǎng huà èr diū	三氧化二銩
sān yǎng huà èr fán	三氧化二釩
sān yǎng huà èr gá	三氧化二釓
sān yǎng huà èr gè	三氧化二鉻
sān yǎng huà èr gǔ	三氧化二鈷
sān yǎng huà èr huǒ	三氧化二鈥
sān yǎng huà èr jiā	三氧化二鎵
sān yǎng huà èr jīn	三氧化二金
sān yǎng huà èr jū	三氧化二鋦
sān yǎng huà èr kāi	三氧化二鐦
sān yǎng huà èr kàng	三氧化二鈧
sān yǎng huà èr lǎo	三氧化二銠
sān yǎng huà èr lín	三氧化二磷
sān yǎng huà èr liú	三氧化二鎦
sān yǎng huà èr lǔ	三氧化二鑥
sān yǎng huà èr lǜ	三氧化二氯
sān yǎng huà èr lǚ	三氧化二鋁
sān yǎng huà èr méi	三氧化二鎇
sān yǎng huà èr měng	三氧化二錳
sān yǎng huà èr niè	三氧化二鎳
sān yǎng huà èr nǚ	三氧化二釹
sān yǎng huà èr péi	三氧化二錇
sān yǎng huà èr péng	三氧化二硼
sān yǎng huà èr pǒ	三氧化二鉕
sān yǎng huà èr pǔ	三氧化二鐠
sān yǎng huà èr qiān	三氧化二鉛
sān yǎng huà èr qīng	三氧化二氫
sān yǎng huà èr shān	三氧化二釤
sān yǎng huà èr shēn	三氧化二砷
sān yǎng huà èr shì	三氧化二鈰
sān yǎng huà èr tā	三氧化二鉈
sān yǎng huà èr tài	三氧化二鈦
sān yǎng huà èr tàn	三氧化二碳
sān yǎng huà èr tè	三氧化二鋱
sān yǎng huà èr tī	三氧化二銻
sān yǎng huà èr tiě	三氧化二鐵
sān yǎng huà èr tóng	三氧化二銅
sān yǎng huà èr xiù	三氧化二溴
sān yǎng huà èr yǐ	三氧化二釔
sān yǎng huà èr yì	三氧化二鐿
sān yǎng huà èr yīn	三氧化二銦
sān yǎng huà èr yǒu	三氧化二銪
sān yǎng huà èr 𰾭	三氧化二鑀
