ā wèi	阿魏
fāng shì xià kǒu nián	方氏下口鲶
fāng tóu shī bí yú	方头狮鼻鱼
fāng wěi bái gū yú	方尾白姑鱼
fāng wěi yán yóu wèi	方尾岩游鳚
fàng xiàn bēi shān hú	放线杯珊瑚
fàng xiàn dòng bāo jūn	放线动孢菌
fàng xiàn duō bāo jūn	放线多孢菌
fāng xiāng wàn shòu jú	芳香万寿菊
fāng xíng dà é xiè	方形大额蟹
fāng xíng fǎn yǔ xiè	方形反羽蟹
fāng xíng huán léng luó	方形环棱螺
fǎng zhóu cháng xuán luó	纺轴长旋螺
fāng zhǔn cháng xuán luó	枋准长旋螺
féi chún xià zhī lǐ	肥唇下脂鲤
fēi dǎo guān gōng xiè	菲岛关公蟹
fèi ěr gàn nà lóng	费尔干纳龙
fèi ěr xiā hǔ yú	费尔鰕虎鱼
fěi jì hè shé mán	斐济褐蛇鳗
fěi jì jí huā yì	斐济棘花鮨
féi jiǎo jīn huā chóng	肥脚金花虫
fèi léi sī nuò lóng	费雷斯诺龙
fēi lì kuàng dēng yú	菲利眶灯鱼
fēi lǜ bīn bō yú	菲律宾波鱼
féi mǎn diǎn pào chóng	肥满碘泡虫
fēi nǐ hǎi lín chóng	非拟海鳞虫
fēi niǎo lèi kǒng lóng	非鸟类恐龙
fēi niǎo xíng kǒng lóng	非鸟形恐龙
fēi niǎo xíng kǒng lóng	非鸟型恐龙
féi pàng bān niǎn luó	肥胖斑捻螺
féi pàng tū tóu xiè	肥胖秃头蟹
fēi shì cháng guī nián	菲氏长龟鲶
fèi shì cháng hé yú	费氏长颌鱼
fēi shī chóng lì méi	飞虱虫疠霉
fèi shì cì kāo yú	费氏刺尻鱼
fèi shì cuò jiǎ nián	费氏锉甲鲶
fèi shì dēng lóng yú	费氏灯笼鱼
fèi shì fù máng mán	费氏副盲鳗
fèi shì gǔ shé yú	费氏骨舌鱼
fèi shì jí qié yú	费氏棘茄鱼
fèi shì jí qié yú	费式棘茄鱼
fèi shì kǒng zǐ niǎo	费氏孔子鸟
fèi shì máo kǒu nián	费氏毛口鲶
fēi shì mò tóu yú	菲氏墨头鱼
fèi shì mò tóu yú	费氏墨头鱼
fěi shì nǐ bái yú	斐氏拟白鱼
fèi shì nián máng mán	费氏黏盲鳗
fēi shì ōu bái yú	菲氏欧白鱼
fèi shì ōu yǎ yú	费氏欧雅鱼
fèi shì pǔ lì yú	费氏朴丽鱼
fèi shì ruǎn kǒu yú	费氏软口鱼
fèi shì ruò lì yú	费氏若丽鱼
fèi shì shì xīng nián	费氏视星鲶
fēi shì shī zi yú	菲氏狮子鱼
fèi shì shī zi yú	费氏狮子鱼
fèi shì shū gōu nián	费氏梳钩鲶
fēi shì xiǎo yóu nián	菲氏小油鲶
fèi shì xīng shān yú	费氏星衫鱼
fèi shì zhǔn jīng nián	费氏准鲸鲶
fěi suō pǔ zhēn cǎo	斐梭浦砧草
féi wěi nǐ què diāo	肥尾拟雀鲷
féi wěi tù zhī lǐ	肥尾兔脂鲤
fēi xiù fèng huáng luó	绯袖凤凰螺
fēi zhōu cè jǐng guī	非洲侧颈龟
fēi zhōu cháng bèi bā	非洲长背鲃
fēi zhōu cháng hé yú	非洲长颌鱼
fēi zhōu cì dié yú	非洲刺蝶鱼
fēi zhōu cì máo shǔ	非洲刺毛鼠
fēi zhōu dà shā shǔ	非洲大沙鼠
fēi zhōu dàn shuǐ yú	非洲淡水鱼
fēi zhōu huī yīng wǔ	非洲灰鹦鹉
fēi zhōu jiào gū yú	非洲叫姑鱼
fēi zhōu jù sōng shǔ	非洲巨松鼠
fēi zhōu kǒng què diāo	非洲孔雀鲷
fēi zhōu lín yāng jī	非洲林秧鸡
fēi zhōu piān lú fú	非洲偏颅蝠
fēi zhōu sān chā fú	非洲三叉蝠
fēi zhōu shé jǐng lóng	非洲蛇颈龙
fēi zhōu tuó bèi yú	非洲驼背鱼
fēi zhōu xī hàn yú	非洲溪汉鱼
fēi zhōu xiǎo sōng shǔ	非洲小松鼠
fēi zhōu yè zhǐ hǔ	非洲叶趾虎
fēi zhōu yē zi māo	非洲椰子猫
fēi zhōu yīng zuǐ yú	非洲鹦嘴鱼
fēi zhōu zhěn zhī yú	非洲枕枝鱼
féi zhuàng bā dòu xiè	肥壮巴豆蟹
féi zhuàng hóu pán yú	肥壮喉盘鱼
fěn bèi liú zú jué	粉背瘤足蕨
fěn bèi suì mǐ huā	粉背碎米花
fēn chà jié mǐn zhū	分叉洁皿蛛
fēn chà wǎng dùn chóng	分叉网盾虫
fěn dài luàn zi cǎo	粉黛乱子草
fěn è shǔ wěi cǎo	粉萼鼠尾草
fěn hóng bào zhàng huā	粉红爆杖花
fěn hóng cí lì yú	粉红慈丽鱼
fěn hóng fāng gǎn jué	粉红方秆蕨
fěn hóng fèng huáng luó	粉红凤凰螺
fěn hóng hǎi kuí yú	粉红海葵鱼
fěn hóng shān jiāo niǎo	粉红山椒鸟
fěn hóng tiān zhú diāo	粉红天竺鲷
fěn hóng zhū chǐ yú	粉红猪齿鱼
fěn hóu huáng fēng niǎo	粉喉煌蜂鸟
fěn hóu huī fēng niǎo	粉喉辉蜂鸟
fěn huā xiù xiàn jú	粉花绣线菊
fěn huā yíng zi cǎo	粉花蝇子草
fěn huā yuè jiàn cǎo	粉花月见草
fēn qí diǎn pào chóng	分歧碘泡虫
fěn rán lín fēng niǎo	粉髯林蜂鸟
fēn sǎn guāng máo xiè	分散光毛蟹
fēn shì cí lì yú	芬氏慈丽鱼
fēn shì huā xiān luó	芬氏花仙螺
fēn shì pí zhī lǐ	芬氏魮脂鲤
fèn xiǎo gān xiàn chóng	粪小杆线虫
fēn xìng shuāng xī chóng	分性双吸虫
fěn yè shí lián huā	粉叶石莲花
fěn yè xìng yùn cǎo	粉叶幸运草
fěn yè yán jiē cǎo	粉叶沿阶草
fěn yè yáng tí jiǎ	粉叶羊蹄甲
fěn yè yù fèng huā	粉叶玉凤花
fēn zhī dēng xīn cǎo	分枝灯心草
fēn zhī gǎn yìng cǎo	分枝感应草
fēn zhī shǔ qǔ cǎo	分枝鼠曲草
fēn zhī suō cǎo jué	分枝莎草蕨
fēng cháo shí bān yú	蜂巢石斑鱼
fēng cháo tái xiǎn chóng	蜂巢苔藓虫
fēng cháo xiā hǔ yú	蜂巢鰕虎鱼
fēng cháo xià kǒu nián	蜂巢下口鲶
fēng cháo xiǎo jiǎ chóng	蜂巢小甲虫
féng hé hǎi yīn luó	缝合海因螺
féng hé xī mì niǎo	缝合吸蜜鸟
fēng huái fèng xiān huā	封怀凤仙花
fèng huáng jiāo què diāo	凤凰椒雀鲷
fèng huáng shān tái cǎo	凤凰山苔草
fēng jiāo kūn míng yú	丰娇昆明鱼
fèng jiāo kūn míng yú	凤姣昆明鱼
fēng líng huǎng gài luó	风铃晃盖螺
fēng líng zhū lóng cǎo	风铃猪笼草
fēng mǎn fèng huáng luó	丰满凤凰螺
fēng mǎn fèng xiān huā	丰满凤仙花
fēng mǎn yè chún yú	丰满叶唇鱼
fēng níng hé běi niǎo	丰宁河北鸟
fēng sēn niè zhī lǐ	丰森啮脂鲤
fèng shān gāo yuán qiū	凤山高原鳅
féng shì lín máo jué	冯氏鳞毛蕨
féng shì pǔ lì yú	冯氏朴丽鱼
fēng shì shuāng biān yú	封氏双边鱼
féng shì tiě xiàn jué	冯氏铁线蕨
fèng wén fù jí qiū	缝纹副棘鳅
fēng wō gé lín chóng	蜂窝格鳞虫
fēng wō tái xiǎn chóng	蜂窝苔藓虫
fèng xiàn bān niǎn luó	缝线斑捻螺
fèng xiān tòu gǔ cǎo	凤仙透骨草
fēng xiāng xiǎo jiǎ chóng	蜂箱小甲虫
fēng yá dài chán yú	锋牙袋蟾鱼
fó luó lǐ dá yì	佛罗里达鮨
fù bān xià kǒu nián	腹斑下口鲶
fù bāo máo jiàn cǎo	覆苞毛建草
fù bēi hóu pán yú	腹杯喉盘鱼
fú biāo zhī wén luó	浮标织纹螺
fù bó nà tè shòu	副伯纳特兽
fù chāo xiǎo juàn é	副超小卷蛾
fù chǐ biān yǎn jiǎ	副齿边眼甲
fù chǐ tiě jiǎo jué	复齿铁角蕨
fù chún fèng xiān huā	腹唇凤仙花
fù chūn jiāng shí yú	富春江鲥鱼
fǔ dà xiǎo è yú	辅大小鳄鱼
fù dà yǎn yú lóng	副大眼鱼龙
fù dà yì jiǎ mǎn	副大翼甲螨
fù dài jí mán nián	腹带棘鳗鲶
fù dēng dāo guāng yú	腹灯刀光鱼
fù dēng jù kǒu yú	腹灯巨口鱼
fù dēng lí guāng yú	腹灯离光鱼
fǔ è yù fèng huā	斧萼玉凤花
fù fāng yì mǔ cǎo	复方益母草
fù fù chǐ zhī lǐ	副复齿脂鲤
fù gài zhū lóng cǎo	附盖猪笼草
fù gé dān jí tún	副革单棘鲀
fù guǎn pí shì luó	附管皮氏螺
fù hǎi yáng bāo jūn	副海洋胞菌
fù hòu dēng lóng yú	腹后灯笼鱼
fù hú chì juǎn é	副弧翅卷蛾
fù jīn chì què diāo	副金翅雀鲷
fù kè nài shì yú	副克奈氏鱼
fú lā tè chán yú	弗拉特蟾鱼
fú lā tè shì jūn	弗拉特氏菌
fú lǎng xī sī jūn	弗朗西斯菌
fú lè shì bīng nián	福勒氏兵鲶
fú lí zhān tǐ chóng	𫚒鯏粘体虫
fú liè cuì què huā	辐裂翠雀花
fú luó lǐ sī shǔ	弗罗里斯鼠
fú máo hǔ ěr cǎo	伏毛虎耳草
fú máo lóu tī cǎo	伏毛楼梯草
fú máo shān méi cǎo	伏毛山莓草
fù máo yáng jiǎo xiè	覆毛羊角蟹
fú máo yín lián huā	伏毛银莲花
fù níng yán jiē cǎo	富宁沿阶草
fù piàn shǔ wěi cǎo	附片鼠尾草
fù sǎn yín lián huā	复伞银莲花
fú sāng zhū lóng cǎo	扶桑猪笼草
fú shè fèng xiān huā	辐射凤仙花
fú shè hǎi bǎi hé	辐射海百合
fù shé kàng shuān méi	蝮蛇抗栓酶
fú shēng fàn shì xiǎn	浮生范氏藓
fù shēng měi dīng huā	附生美丁花
fù shēng zhū lóng cǎo	附生猪笼草
fù shì bàn gōu nián	富氏半钩鲶
fú shì bàn lì yú	弗氏伴丽鱼
fú shì bèi jiǎ nián	弗氏背甲鲶
fú shì cì kāo yú	福氏刺尻鱼
fú shì cì wěi yú	福氏刺尾鱼
fú shì cū qí yú	福氏粗鳍鱼
fú shì dà biàn yú	福氏大辫鱼
fù shì dān jí chóng	傅氏单极虫
fú shì dù fù yú	伏氏杜父鱼
fù shì fèng wěi jué	傅氏凤尾蕨
fù shì fǔ hǎi nián	富氏俯海鲶
fú shì fù lì yú	弗氏副丽鱼
fú shì gōu qián yú	福氏钩潜鱼
fú shì gǒu zhī lǐ	福氏狗脂鲤
fú shì guǐ lì yú	弗氏鬼丽鱼
fú shì hǎi zhū yú	弗氏海猪鱼
fú shì hóng niáng yú	福氏红娘鱼
fú shì jí huā yì	福氏棘花鮨
fú shì jiá zhī lǐ	弗氏颊脂鲤
fú shì kuàng dēng yú	福氏眶灯鱼
fú shì kuàng dēng yú	符氏眶灯鱼
fú shì nǐ bái yú	弗氏拟白鱼
fú shì nián máng mán	弗氏黏盲鳗
fú shì niè lì yú	弗氏镊丽鱼
fú shì pí zhī lǐ	弗氏魮脂鲤
fù shì pǔ lì yú	富氏朴丽鱼
fú shì pǔ tí yú	弗氏普提鱼
fú shì rèn lì yú	弗氏妊丽鱼
fú shì sāi zhī lǐ	福氏鳃脂鲤
fú shì shén nǚ nián	弗氏神女鲶
fú shì shí zhī lǐ	福氏石脂鲤
fú shì shī zi yú	弗氏狮子鱼
fù shì táng sōng cǎo	傅氏唐松草
fú shì tù zhī lǐ	弗氏兔脂鲤
fú shì xià kǒu nián	弗氏下口鲶
fú shì xiàng qí nián	福氏项鳍鲶
fú shì yǐn qí nián	弗氏隐鳍鲶
fú shì yīng gē yú	福氏鹦哥鱼
fú shì yǒng hǎi nián	弗氏泳海鲶
fú shì zhēn guǎn luó	伏氏真管螺
fú shì zhú guāng yú	弗氏烛光鱼
fú shì zhuī shǒu yú	弗氏锥首鱼
fù tǎ lóng kē lóng	富塔隆柯龙
fù wǎ bèi yè chóng	覆瓦背叶虫
fù wǎ hā lín chóng	覆瓦哈鳞虫
fù wǎ xiǎo shé luó	覆瓦小蛇螺
fú wén hǎi zhū yú	辐纹海猪鱼
fù wén liàng lì diāo	腹纹亮丽鲷
fù wén pǔ lì yú	腹纹朴丽鱼
fù wén tiān zhú diāo	腹纹天竺鲷
fù wén wěn jí qiū	腹纹吻棘鳅
fù wén yīng zuǐ yú	腹纹鹦嘴鱼
fù wén zǐ xiōng yú	腹纹紫胸鱼
fù xì jù zhī lǐ	副细锯脂鲤
fǔ xiān gāo yuán qiū	抚仙高原鳅
fǔ xiān liǎng jí chóng	抚仙两极虫
fǔ xiān zhān tǐ chóng	抚仙粘体虫
fù xīn liàng lì diāo	腹新亮丽鲷
fú xīng dà jǔ niǎo	福星大咀鸟
fú xīng dà zuǐ niǎo	福星大嘴鸟
fù xù piāo fú cǎo	复序飘拂草
fù yuán fù xī qiū	副原腹吸鳅
fù zhǎn hóu pán yú	腹盏喉盘鱼
fú zhī yín lián huā	匐枝银莲花
fú zhuàng lèi zhù huā	辐状肋柱花
gài áo jì jū xiè	盖螯寄居蟹
gài bān hǎi zhū yú	盖斑海猪鱼
gài jí xiā hǔ yú	盖棘鰕虎鱼
gài mǎ shì kuī yú	盖马氏盔鱼
gài shēng é guān cǎo	钙生鹅观草
gài shì hǔ wěi cǎo	盖氏虎尾草
gài shì jiāo què diāo	盖氏椒雀鲷
gài shì shí wén yú	盖氏食蚊鱼
gài shì xīn mán nián	盖氏新鳗鲶
gài yà zhū lóng cǎo	盖亚猪笼草
gài yán lèi máo jué	钙岩肋毛蕨
gài yáng niè zhī lǐ	盖扬啮脂鲤
gài yī zhōng lì yú	盖伊中丽鱼
gǎi zào shuǐ zhī zhū	改造水蜘蛛
gǎi zé gāo yuán qiū	改则高原鳅
gān chuān dēng xīn cǎo	甘川灯心草
gān gōu piāo fú cǎo	干沟飘拂草
gān hé yún nán qiū	干河云南鳅
gān jú hóng zhī zhū	柑橘红蜘蛛
gān jú pí zhī lǐ	柑橘魮脂鲤
gān jú zhī zi huā	柑橘栀子花
gǎn lǎn dān jí chóng	橄榄单极虫
gǎn lǎn diǎn pào chóng	橄榄碘泡虫
gān lán jīn huā chóng	甘蓝金花虫
gǎn lǎn qiú bǐ luó	橄榄球笔螺
gǎn lǎn xiù yǎn niǎo	橄榄绣眼鸟
gàn liàn jū ké xiè	干练居壳蟹
gàn liàn píng ké xiè	干练平壳蟹
gàn níng láng wěi cǎo	干宁狼尾草
gān piàn xíng xī chóng	肝片形吸虫
gān qīng lǎo guàn cǎo	甘青老鹳草
gān qīng liú lí cǎo	甘青琉璃草
gān qīng wēi kǒng cǎo	甘青微孔草
gàn shēng jī jī cǎo	干生芨芨草
gān shì jù áo xiè	甘氏巨螯蟹
gān shì sì chuān lóng	甘氏四川龙
gān sù cuì què huā	甘肃翠雀花
gān sù duǎn cháng jué	甘肃短肠蕨
gān sù gāo yuán qiū	甘肃高原鳅
gān sù gǔ pái jué	甘肃骨牌蕨
gān sù huā xiè zhū	甘肃花蟹蛛
gān sù liú lí cǎo	甘肃琉璃草
gān sù méi huā cǎo	甘肃梅花草
gān sù nóng chuāng cǎo	甘肃脓疮草
gān sù shān méi huā	甘肃山梅花
gān sù shuāng gài jué	甘肃双盖蕨
gān sù xiè jiǎ cǎo	甘肃蟹甲草
gān sù yín lián huā	甘肃银莲花
gān sù yù mén niǎo	甘肃玉门鸟
gān sù zhǒng shuǐ niǎo	甘肃种水鸟
gān sù zuì yú cǎo	甘肃醉鱼草
gān xī shǔ wěi cǎo	甘西鼠尾草
gān yè mán tou xiè	肝叶馒头蟹
gān zī cuì què huā	甘孜翠雀花
gǎng bā lèi zhù huā	岗巴肋柱花
gāng bǎn bèi jiǎ nián	肛板背甲鲶
gāng cūn rú shé mán	冈村蠕蛇鳗
gāng dì gōng xíng chóng	刚地弓形虫
gāng guǒ cháng zhī lǐ	刚果长脂鲤
gāng guǒ duǎn zhī lǐ	刚果短脂鲤
gāng guǒ duō qí yú	刚果多鳍鱼
gāng guǒ hè shé mán	刚果褐蛇鳗
gāng guǒ mò tóu yú	刚果墨头鱼
gāng guǒ qín zhī lǐ	刚果琴脂鲤
gāng guǒ tuó bèi yú	刚果驼背鱼
gāng guǒ xī bó nián	刚果锡伯鲶
gāng guǒ xiōng lì yú	刚果胸丽鱼
gǎng kǒu yān dǒu huā	港口烟斗花
gāng lín zhēn máo jué	刚鳞针毛蕨
gāng máo hǔ ěr cǎo	刚毛虎耳草
gāng máo jiǎ fāng xiè	刚毛假方蟹
gāng máo jǐn xiāng cǎo	刚毛锦香草
gāng máo lín gài jué	刚毛鳞盖蕨
gāng máo lóu tī cǎo	刚毛楼梯草
gāng máo mǎ yín huā	刚毛马银花
gāng máo xīn yuè jué	刚毛新月蕨
gāng máo zhū lóng cǎo	刚毛猪笼草
gāng sè shì tiáo qiū	冈瑟氏条鳅
gǎng shén tiān zhú diāo	港神天竺鲷
gǎng shén yīng zhú diāo	港神鹦竺鲷
gāng shì dùn náng nián	冈氏钝囊鲶
gāng shì gāo yuán qiū	冈氏高原鳅
gāng shì hǎi xī yú	冈氏海蜥鱼
gāng shì kǒng què diāo	冈氏孔雀鲷
gāng shì wěn jí qiū	冈氏吻棘鳅
gāng tiě zhī zhū xiá	钢铁蜘蛛侠
gǎng tóu cūn gǔ chóng	岗头村古虫
gāo bǎn suì nǎi guǒ	高坂穗乃果
gāo bèi biān fú yú	高背蝙蝠鱼
gāo bèi dà yǎn diāo	高背大眼鲷
gāo bēi hóu máo huā	高杯喉毛花
gāo bèi táo lè nián	高背陶乐鲶
gāo bèi yín bǎn yú	高背银板鱼
gāo bèi yuè lì yú	高背悦丽鱼
gāo chāo tí gài jué	高超蹄盖蕨
gāo chì yīng zuǐ yú	高翅鹦嘴鱼
gāo dà chì guǒ jú	高大翅果菊
gāo dà duǎn cháng jué	高大短肠蕨
gāo dà huán kǒu luó	高大环口螺
gāo dà shuāng gài jué	高大双盖蕨
gāo dì dà fēng niǎo	高地大蜂鸟
gǎo gān shuāng qí luó	藁杆双脐螺
gāo guān biàn sè lóng	高冠变色龙
gāo guān hóng shān niǎo	高冠红山鸟
gāo guì fèng xiān huā	高贵凤仙花
gāo guì nǐ guǎn luó	高贵拟管螺
gāo guì qí zhī lǐ	高贵奇脂鲤
gāo hán huā xiè zhū	高寒花蟹蛛
gāo hán lù zhū cǎo	高寒露珠草
gāo jí jí huā yì	高棘棘花鮨
gāo jí jù zhī lǐ	高棘锯脂鲤
gāo jiá pǔ lì yú	高颊朴丽鱼
gāo jiǎn yín xìng xiè	高睑银杏蟹
gāo jié yán jiē cǎo	高节沿阶草
gāo kǎ niè zhī lǐ	高卡啮脂鲤
gāo lí dōng yíng lǐ	高丽东瀛鲤
gāo lí yǎ luó yú	高丽雅罗鱼
gāo lín guāng sāi yú	高鳞光鳃鱼
gāo lún lì zhī lǐ	高伦丽脂鲤
gāo mián zhū lóng cǎo	高棉猪笼草
gāo míng diǎn pào chóng	高明碘泡虫
gāo néng xiè jiǎ cǎo	高能蟹甲草
gāo píng mǎ kǒu yú	高屏马口鱼
gāo pō fèng xiān huā	高坡凤仙花
gāo qí àn ào yì	高鳍暗澳鮨
gāo qí cì wěi diāo	高鳍刺尾鲷
gāo qí cì wěi yú	高鳍刺尾鱼
gāo qí cū qí yú	高鳍粗鳍鱼
gāo qí cuò jiǎ nián	高鳍锉甲鲶
gāo qí dòu chǐ mán	高鳍豆齿鳗
gāo qí gāo yuán qiū	高鳍高原鳅
gāo qí jí huā yì	高鳍棘花鮨
gāo qí kǎi gōng yú	高鳍铠弓鱼
gāo qí pí zhī lǐ	高鳍魮脂鲤
gāo qí tiào yán wèi	高鳍跳岩鳚
gāo qí tū wěn yú	高鳍突吻鱼
gāo qí xiǎo yóu nián	高鳍小油鲶
gāo qí yì jǐn yú	高鳍异锦鱼
gāo qí yīng zuǐ yú	高鳍鹦嘴鱼
gāo qí zú bì yú	高鳍足躄鱼
gāo shā xiǎo mǐ cǎo	高砂小米草
gāo shān báo xuě cǎo	高山薄雪草
gāo shān dǐng bīng huā	高山顶冰花
gāo shān é guān cǎo	高山鹅观草
gāo shān fèi xíng cǎo	高山肺形草
gāo shān fěn bèi jué	高山粉背蕨
gāo shān fèng le jué	高山凤了蕨
gāo shān fèng wěi jué	高山凤尾蕨
gāo shān fèng xiān huā	高山凤仙花
gāo shān fù shuǐ cǎo	高山腹水草
gāo shān gǔ jīng cǎo	高山谷精草
gāo shān hǔ ěr cǎo	高山虎耳草
gāo shān huā bàn xiè	高山花瓣蟹
gāo shān huā xiè zhū	高山花蟹蛛
gāo shān huǒ róng cǎo	高山火绒草
gāo shān jí gài nián	高山棘盖鲶
gāo shān jiàn wěi yú	高山剑尾鱼
gāo shān jīn chì què	高山金翅雀
gāo shān jīn gǔ cǎo	高山筋骨草
gāo shān jīng yóu nián	高山鲸油鲶
gāo shān lán pén huā	高山蓝盆花
gāo shān lù zhū cǎo	高山露珠草
gāo shān méi huā cǎo	高山梅花草
gāo shān niè zhī lǐ	高山啮脂鲤
gāo shān nǚ lóu cǎo	高山女娄草
gāo shān qī gū cǎo	高山漆姑草
gāo shān què shé cǎo	高山雀舌草
gāo shān sān máo cǎo	高山三毛草
gāo shān táng sōng cǎo	高山唐松草
gāo shān tí gài jué	高山蹄盖蕨
gāo shān tī mù cǎo	高山梯牧草
gāo shān tiě jiǎo jué	高山铁角蕨
gāo shān tōng quán cǎo	高山通泉草
gāo shān wù wàng cǎo	高山勿忘草
gāo shān xiǎo mǐ cǎo	高山小米草
gāo shān xuàn mù què	高山旋木雀
gāo shān yā ruǐ huā	高山丫蕊花
gāo shān yā zuǐ nián	高山鸭嘴鲶
gāo shān yín suì cǎo	高山银穗草
gāo shān yíng zi cǎo	高山蝇子草
gāo shān yóu diǎn cǎo	高山油点草
gāo shēn ǎi zhī lǐ	高身矮脂鲤
gāo shēn chǎn hàn yú	高身铲颔鱼
gāo shēn chǎn hé yú	高身铲颌鱼
gāo shēn chuān zhī lǐ	高身川脂鲤
gāo shēn guāng sāi yú	高身光鳃鱼
gāo shēn hòu qí yú	高身后鳍鱼
gāo shēn lì zhī lǐ	高身丽脂鲤
gāo shēn máo bí nián	高身毛鼻鲶
gāo shēn pí zhī lǐ	高身魮脂鲤
gāo shēn pǔ lì yú	高身朴丽鱼
gāo shēn yín bǎn yú	高身银板鱼
gāo shì hé sāi mán	高氏合鳃鳗
gāo shì huá dēng yú	高氏华灯鱼
gāo shì niè zhī lǐ	高氏啮脂鲤
gāo shì pǔ lì yú	高氏朴丽鱼
gāo shì qián gāng mán	高氏前肛鳗
gāo shì zhēn máo cān	高氏真锚参
gāo sǒng xiè shǒu luó	高耸蟹守螺
gāo tǎ lòu chǐ luó	高塔露齿螺
gāo tǐ bái jiǎ yú	高体白甲鱼
gāo tǐ chǎn hé yú	高体铲颌鱼
gāo tǐ dēng lóng yú	高体灯笼鱼
gāo tǐ diàn dēng yú	高体电灯鱼
gāo tǐ fù nán qiū	高体副南鳅
gāo tǐ gāo xū yú	高体高须鱼
gāo tǐ guǎn wěn nián	高体管吻鲶
gāo tǐ kuàng bí mán	高体眶鼻鳗
gāo tǐ kuàng dēng yú	高体眶灯鱼
gāo tǐ máo bí nián	高体毛鼻鲶
gāo tǐ máo lì yú	高体矛丽鱼
gāo tǐ mò tóu yú	高体墨头鱼
gāo tǐ nǐ huā yì	高体拟花鮨
gāo tǐ niè zhī lǐ	高体啮脂鲤
gāo tǐ ōu yǎ yú	高体欧雅鱼
gāo tǐ shí bān yú	高体石斑鱼
gāo tǐ xiǎo yóu nián	高体小油鲶
gāo tǐ yǎ luó yú	高体雅罗鱼
gāo tǐ yún nán qiū	高体云南鳅
gāo wěi dēng kǒng diāo	高尾灯孔鲷
gāo wèi kuàng dēng yú	高位眶灯鱼
gāo wěn kǒng tóu diāo	高吻孔头鲷
gāo xióng piāo fú cǎo	高雄飘拂草
gāo xióng xiè jiǎ cǎo	高熊蟹甲草
gāo yǎn lì tǐ yú	高眼丽体鱼
gāo yāo chē lún luó	高腰车轮螺
gāo yāo wēng róng luó	高腰翁戎螺
gāo yuán fèng wěi jué	高原凤尾蕨
gāo yuán jù xiè zhū	高原巨蟹蛛
gāo yuán lù zhū cǎo	高原露珠草
gāo yuán niè zhī lǐ	高原啮脂鲤
gāo yuán sān máng cǎo	高原三芒草
gāo yuán shé gēn cǎo	高原蛇根草
gāo yuán táng sōng cǎo	高原唐松草
gāo yuán xī zhī lǐ	高原溪脂鲤
gāo yuán xiàn chóng cǎo	高原线虫草
gāo yún shù yāo xiè	高云束腰蟹
gāo zé hǎi qí lín	高泽海麒麟
gāo zhǎng zhé è xiè	高掌折颚蟹
gāo zhī jù lín yú	高知锯鳞鱼
gāo zhū é guān cǎo	高株鹅观草
gē chǐ hóu pán yú	割齿喉盘鱼
gē da yín xìng xiè	疙瘩银杏蟹
gē dēng jiàn wěi yú	戈登剑尾鱼
gè dì dàn shuǐ yú	各地淡水鱼
gé fú nán jí yú	格伏南极鱼
gè guó dàn shuǐ yú	各国淡水鱼
gè jiù gāo yuán qiū	个旧高原鳅
gè jiù máng nán qiū	个旧盲南鳅
gé léi sān qí wèi	格雷三鳍鳚
gé léi yuān zhēn yú	格雷渊珍鱼
gé lǐ fēn bīng nián	格里芬兵鲶
gé lǐ pǔ yú lóng	格里普鱼龙
gé lǐ shì bīng nián	格里氏兵鲶
gé lín máo kǒu nián	格林毛口鲶
gé líng lán shā yú	格陵兰鲨鱼
gé luò sī tè xī	格洛斯特蜥
gé mó xiù yǎn niǎo	葛摩绣眼鸟
gé ruì shì máng mán	格瑞氏盲鳗
gé shì bái jiǎ yú	葛氏白甲鱼
gé shì bèi hú yú	格氏贝湖鱼
gē shì cháng hé yú	戈氏长颌鱼
gé shì dù fù yú	格氏杜父鱼
gé shì fāng tóu yú	格氏方头鱼
gé shì guǎn xū xiè	葛氏管须蟹
gé shì guāng chán yú	格氏光蟾鱼
gé shì hǎi zhú yú	葛氏海蠋鱼
gé shì hé wěn mán	格氏颌吻鳗
gé shì hòu gāng yú	葛氏后肛鱼
gē shì jiào gū yú	戈氏叫姑鱼
gé shì jù lín yú	格氏锯鳞鱼
gé shì lì tǐ yú	格氏丽体鱼
gé shì liù jiǎo xiè	葛氏六角蟹
gé shì lù fāng xiè	葛氏陆方蟹
gē shì luǒ wěn yú	戈氏裸吻鱼
gé shì nǐ bái yú	格氏拟白鱼
gé shì nǐ lì yú	葛氏拟丽鱼
gé shì nǐ lì yú	格氏拟丽鱼
gē shì nián máng mán	戈氏黏盲鳗
gé shì nián máng mán	格氏黏盲鳗
gé shì pí zhī lǐ	格氏魮脂鲤
gē shì piàn suō luó	戈氏骗梭螺
gé shì piáo là chán	格氏瓢蜡蝉
gé shì què lì yú	格氏雀丽鱼
gē shì rú shé mán	戈氏蠕蛇鳗
gé shì shì xīng nián	格氏视星鲶
gé shì shī zi yú	格氏狮子鱼
gé shì suì bì yú	格氏穗躄鱼
gē shì tù zhī lǐ	戈氏兔脂鲤
gé shì tù zhī lǐ	格氏兔脂鲤
gē shì tún jiǎo nián	戈氏豚角鲶
gē shì wǔ zhī lǐ	戈氏武脂鲤
gé shì xī bó nián	格氏锡伯鲶
gē shì xī zhī lǐ	戈氏溪脂鲤
gé shì xiàng qí yú	葛氏项鳍鱼
gé shì xīn hǎi nián	格氏新海鲶
gé shì xīn mán nián	格氏新鳗鲶
gē shì xùn lì yú	戈氏驯丽鱼
